22:22:57.239 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
22:22:58.565 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\86186\nacos\config
22:22:58.570 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0
22:22:58.616 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 3 keys and 6 values 
22:22:58.645 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 4 keys and 9 values 
22:22:58.660 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 3 keys and 10 values 
22:22:58.818 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 155 ms to scan 199 urls, producing 0 keys and 0 values 
22:22:58.828 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
22:22:58.844 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 7 values 
22:22:58.857 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
22:22:58.992 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 132 ms to scan 199 urls, producing 0 keys and 0 values 
22:22:58.995 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
22:22:58.995 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$326/13001549
22:22:58.996 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$327/1710591086
22:22:58.996 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:22:58.997 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:22:59.005 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] Try to connect to server on start up, server: {serverIp='192.168.145.130', server main port=2222}
22:23:02.957 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] Try to connect to server on start up, server: {serverIp='192.168.145.130', server main port=2222}
22:23:05.963 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] Try to connect to server on start up, server: {serverIp='192.168.145.130', server main port=2222}
22:23:08.969 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
22:23:08.969 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:23:08.969 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
22:23:09.070 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
22:23:10.315 [main] INFO  c.m.c.MarsGatewayApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
22:23:15.077 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:18.282 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:21.584 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 3 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
